Data Ora;TEMP 1 (°C);TEMP 2 (°C);TEMP 3 (°C);
13/12/2022 10.00.00;22,1;19,7;22;
13/12/2022 10.01.00;22,2;19,7;21,9;
13/12/2022 10.02.00;22,2;19,7;21,9;
13/12/2022 10.03.00;22,3;19,7;21,9;
13/12/2022 10.04.00;22,3;19,7;21,8;
13/12/2022 10.05.00;22,3;19,7;21,9;
13/12/2022 10.06.00;22,4;19,8;21,9;
13/12/2022 10.07.00;22,4;19,8;21,9;
13/12/2022 10.08.00;22,5;19,8;21,9;
13/12/2022 10.09.00;22,5;19,8;22;
13/12/2022 10.10.00;22,5;19,8;22;
13/12/2022 10.11.00;22,6;19,8;21,9;
13/12/2022 10.12.00;22,6;19,8;22;
13/12/2022 10.13.00;22,7;19,9;22,1;
13/12/2022 10.14.00;22,7;19,9;22;
13/12/2022 10.15.00;22,7;19,9;22,1;
13/12/2022 10.16.00;22,8;19,9;22,1;
13/12/2022 10.17.00;22,8;20;21,9;
13/12/2022 10.18.00;22,8;20;22;
13/12/2022 10.19.00;22,9;20;22;
13/12/2022 10.20.00;22,9;20;22,1;
13/12/2022 10.21.00;23;20;22,1;
13/12/2022 10.22.00;23;20;22;
13/12/2022 10.23.00;23;20,1;22,1;
13/12/2022 10.24.00;23,1;20,1;21,9;
13/12/2022 10.25.00;23,1;20,1;22;
13/12/2022 10.26.00;23,1;20,1;22;
13/12/2022 10.27.00;23,1;20,2;22,1;
13/12/2022 10.28.00;23,2;20,1;22,2;
13/12/2022 10.29.00;23,2;20,2;22,2;
13/12/2022 10.30.00;23,3;20,2;22,1;
13/12/2022 10.31.00;23,3;20,2;22,1;
13/12/2022 10.32.00;23,3;20,2;22,2;
13/12/2022 10.33.00;23,3;20,2;22,1;
13/12/2022 10.34.00;23,4;20,2;22,1;
13/12/2022 10.35.00;23,4;20,2;22;
13/12/2022 10.36.00;23,4;20,3;22;
13/12/2022 10.37.00;23,5;20,2;21,8;
13/12/2022 10.38.00;23,5;20,2;21,9;
13/12/2022 10.39.00;23,5;20,3;21,9;
13/12/2022 10.40.00;23,6;20,3;21,9;
13/12/2022 10.41.00;23,6;20,3;21,9;
13/12/2022 10.42.00;23,6;20,3;22;
13/12/2022 10.43.00;23,6;20,3;21,9;
13/12/2022 10.44.00;23,7;20,4;22,1;
13/12/2022 10.45.00;23,7;20,4;22;
13/12/2022 10.46.00;23,7;20,4;22,1;
13/12/2022 10.47.00;23,8;20,4;22,2;
13/12/2022 10.48.00;23,8;20,4;22;
13/12/2022 10.49.00;23,8;20,4;22,2;
13/12/2022 10.50.00;23,9;20,4;22,2;
13/12/2022 10.51.00;23,9;20,5;22,3;
13/12/2022 10.52.00;23,9;20,5;22,2;
13/12/2022 10.53.00;23,9;20,5;22,2;
13/12/2022 10.54.00;24;20,5;22,2;
13/12/2022 10.55.00;24;20,5;22,2;
13/12/2022 10.56.00;24;20,5;22,2;
13/12/2022 10.57.00;24;20,5;22,2;
13/12/2022 10.58.00;24;20,6;22,3;
13/12/2022 10.59.00;24,1;20,6;22,3;
13/12/2022 11.00.00;24,1;20,6;22,3;
13/12/2022 11.01.00;24,1;20,6;22,3;
13/12/2022 11.02.00;24,2;20,6;22,4;
13/12/2022 11.03.00;24,2;20,6;22,3;
13/12/2022 11.04.00;24,2;20,6;22,2;
13/12/2022 11.05.00;24,2;20,7;22,3;
13/12/2022 11.06.00;24,3;20,7;22,4;
13/12/2022 11.07.00;24,3;20,7;22,3;
13/12/2022 11.08.00;24,3;20,7;22,3;
13/12/2022 11.09.00;24,3;20,7;22,2;
13/12/2022 11.10.00;24,4;20,7;22,4;
13/12/2022 11.11.00;24,4;20,7;22,3;
13/12/2022 11.12.00;24,4;20,8;22,3;
13/12/2022 11.13.00;24,4;20,8;22,4;
13/12/2022 11.14.00;24,5;20,8;22,4;
13/12/2022 11.15.00;24,5;20,8;22,3;
13/12/2022 11.16.00;24,5;20,8;22,5;
13/12/2022 11.17.00;24,5;20,8;22,5;
13/12/2022 11.18.00;24,5;20,8;22,4;
13/12/2022 11.19.00;24,6;20,9;22,5;
13/12/2022 11.20.00;24,6;20,9;22,5;
13/12/2022 11.21.00;24,6;20,9;22,5;
13/12/2022 11.22.00;24,6;20,9;22,5;
13/12/2022 11.23.00;24,7;20,9;22,4;
13/12/2022 11.24.00;24,7;20,9;22,4;
13/12/2022 11.25.00;24,7;20,9;22,5;
13/12/2022 11.26.00;24,7;20,9;22,5;
13/12/2022 11.27.00;24,7;21;22,5;
13/12/2022 11.28.00;24,8;21;22,5;
13/12/2022 11.29.00;24,8;21;22,7;
13/12/2022 11.30.00;24,8;21;22,8;
13/12/2022 11.31.00;24,8;21;22,7;
13/12/2022 11.32.00;24,9;21;22,7;
13/12/2022 11.33.00;24,9;21,1;22,8;
13/12/2022 11.34.00;24,9;21,1;22,9;
13/12/2022 11.35.00;24,9;21,1;22,8;
13/12/2022 11.36.00;24,9;21,1;22,9;
13/12/2022 11.37.00;25;21,1;22,8;
13/12/2022 11.38.00;25;21,1;23,1;
13/12/2022 11.39.00;25;21,2;23;
13/12/2022 11.40.00;25,1;21,2;23;
13/12/2022 11.41.00;25,1;21,2;22,9;
13/12/2022 11.42.00;25,1;21,2;22,9;
13/12/2022 11.43.00;25,1;21,2;22,9;
13/12/2022 11.44.00;25,1;21,2;23;
13/12/2022 11.45.00;25,1;21,2;22,9;
13/12/2022 11.46.00;25,1;21,3;23;
13/12/2022 11.47.00;25,2;21,3;22,9;
13/12/2022 11.48.00;25,2;21,3;23,1;
13/12/2022 11.49.00;25,2;21,3;23,1;
13/12/2022 11.50.00;25,2;21,3;23,1;
13/12/2022 11.51.00;25,3;21,4;23;
13/12/2022 11.52.00;25,3;21,4;23;
13/12/2022 11.53.00;25,3;21,4;23;
13/12/2022 11.54.00;25,3;21,4;23;
13/12/2022 11.55.00;25,4;21,4;23;
13/12/2022 11.56.00;25,4;21,4;23,1;
13/12/2022 11.57.00;25,4;21,4;23;
13/12/2022 11.58.00;25,4;21,4;23,1;
13/12/2022 11.59.00;25,4;21,5;23,2;
13/12/2022 12.00.00;25,4;21,4;23;
13/12/2022 12.01.00;25,4;21,5;23;
13/12/2022 12.02.00;25,5;21,5;23,1;
13/12/2022 12.03.00;25,5;21,5;23,2;
13/12/2022 12.04.00;25,5;21,5;23,3;
13/12/2022 12.05.00;25,5;21,6;23,2;
13/12/2022 12.06.00;25,6;21,6;23,1;
13/12/2022 12.07.00;25,6;21,6;23;
13/12/2022 12.08.00;25,6;21,6;23,1;
13/12/2022 12.09.00;25,6;21,6;23,2;
13/12/2022 12.10.00;25,6;21,6;23,2;
13/12/2022 12.11.00;25,6;21,6;23,2;
13/12/2022 12.12.00;25,7;21,6;23,2;
13/12/2022 12.13.00;25,7;21,7;23,1;
13/12/2022 12.14.00;25,7;21,7;23,2;
13/12/2022 12.15.00;25,7;21,7;23,3;
13/12/2022 12.16.00;25,7;21,7;23,1;
13/12/2022 12.17.00;25,7;21,7;23,1;
13/12/2022 12.18.00;25,8;21,7;23,2;
13/12/2022 12.19.00;25,8;21,7;23,2;
13/12/2022 12.20.00;25,8;21,7;23,2;
13/12/2022 12.21.00;25,8;21,8;23,3;
13/12/2022 12.22.00;25,8;21,8;23,3;
13/12/2022 12.23.00;25,9;21,8;23,2;
13/12/2022 12.24.00;25,9;21,8;23,3;
13/12/2022 12.25.00;25,9;21,8;23,3;
13/12/2022 12.26.00;25,9;21,8;23,3;
13/12/2022 12.27.00;25,9;21,8;23,2;
13/12/2022 12.28.00;25,9;21,8;23,2;
13/12/2022 12.29.00;25,9;21,8;23,3;
13/12/2022 12.30.00;26;21,8;23,3;
13/12/2022 12.31.00;26;21,8;23,3;
13/12/2022 12.32.00;26;21,8;23,2;
13/12/2022 12.33.00;26;21,8;23,2;
13/12/2022 12.34.00;26;21,9;23,2;
13/12/2022 12.35.00;26,1;21,9;23,3;
13/12/2022 12.36.00;26,1;21,9;23,5;
13/12/2022 12.37.00;26,1;21,9;23,2;
13/12/2022 12.38.00;26,1;21,9;23,3;
13/12/2022 12.39.00;26,1;21,9;23,4;
13/12/2022 12.40.00;26,1;21,9;23,3;
13/12/2022 12.41.00;26,1;22;23,4;
13/12/2022 12.42.00;26,1;22;23,3;
13/12/2022 12.43.00;26,2;22;23,3;
13/12/2022 12.44.00;26,2;22;23,3;
13/12/2022 12.45.00;26,2;22;23,4;
13/12/2022 12.46.00;26,2;22;23,4;
13/12/2022 12.47.00;26,2;22;23,3;
13/12/2022 12.48.00;26,2;22,1;23,2;
13/12/2022 12.49.00;26,2;22;23,4;
13/12/2022 12.50.00;26,3;22,1;23,4;
13/12/2022 12.51.00;26,3;22,1;23,4;
13/12/2022 12.52.00;26,3;22,1;23,4;
13/12/2022 12.53.00;26,3;22,1;23,3;
13/12/2022 12.54.00;26,3;22,1;23,3;
13/12/2022 12.55.00;26,3;22,1;23,3;
13/12/2022 12.56.00;26,4;22,1;23,3;
13/12/2022 12.57.00;26,4;22,2;23,4;
13/12/2022 12.58.00;26,4;22,2;23,5;
13/12/2022 12.59.00;26,4;22,2;23,5;
13/12/2022 13.00.00;26,4;22,2;23,4;
13/12/2022 13.01.00;26,4;22,2;23,5;
13/12/2022 13.02.00;26,4;22,2;23,5;
13/12/2022 13.03.00;26,4;22,2;23,5;
13/12/2022 13.04.00;26,5;22,2;23,5;
13/12/2022 13.05.00;26,5;22,2;23,5;
13/12/2022 13.06.00;26,5;22,2;23,6;
13/12/2022 13.07.00;26,5;22,3;23,5;
13/12/2022 13.08.00;26,5;22,3;23,6;
13/12/2022 13.09.00;26,5;22,3;23,6;
13/12/2022 13.10.00;26,5;22,3;23,6;
13/12/2022 13.11.00;26,5;22,3;23,5;
13/12/2022 13.12.00;26,6;22,3;23,5;
13/12/2022 13.13.00;26,6;22,3;23,5;
13/12/2022 13.14.00;26,6;22,4;23,6;
13/12/2022 13.15.00;26,6;22,4;23,4;
13/12/2022 13.16.00;26,6;22,4;23,5;
13/12/2022 13.17.00;26,6;22,4;23,6;
13/12/2022 13.18.00;26,6;22,4;23,6;
13/12/2022 13.19.00;26,6;22,4;23,5;
13/12/2022 13.20.00;26,6;22,4;23,4;
13/12/2022 13.21.00;26,6;22,4;23,4;
13/12/2022 13.22.00;26,7;22,4;23,4;
13/12/2022 13.23.00;26,7;22,4;23,5;
13/12/2022 13.24.00;26,7;22,4;23,6;
13/12/2022 13.25.00;26,7;22,4;23,6;
13/12/2022 13.26.00;26,7;22,4;23,5;
13/12/2022 13.27.00;26,7;22,4;23,4;
13/12/2022 13.28.00;26,7;22,4;23,4;
13/12/2022 13.29.00;26,8;22,5;23,4;
13/12/2022 13.30.00;26,7;22,5;23,4;
13/12/2022 13.31.00;26,8;22,5;23,6;
13/12/2022 13.32.00;26,8;22,5;23,5;
13/12/2022 13.33.00;26,8;22,5;23,6;
13/12/2022 13.34.00;26,8;22,5;23,8;
13/12/2022 13.35.00;26,8;22,5;23,7;
13/12/2022 13.36.00;26,8;22,5;23,7;
13/12/2022 13.37.00;26,8;22,5;23,6;
13/12/2022 13.38.00;26,8;22,5;23,7;
13/12/2022 13.39.00;26,9;22,6;23,8;
13/12/2022 13.40.00;26,9;22,6;23,7;
13/12/2022 13.41.00;26,9;22,6;23,6;
13/12/2022 13.42.00;26,9;22,6;23,5;
13/12/2022 13.43.00;26,9;22,6;23,7;
13/12/2022 13.44.00;26,9;22,6;23,6;
13/12/2022 13.45.00;26,9;22,6;23,6;
13/12/2022 13.46.00;26,9;22,6;23,7;
13/12/2022 13.47.00;26,9;22,6;23,7;
13/12/2022 13.48.00;26,9;22,6;23,7;
13/12/2022 13.49.00;27;22,6;23,6;
13/12/2022 13.50.00;27;22,7;23,7;
13/12/2022 13.51.00;27;22,7;23,8;
13/12/2022 13.52.00;27;22,7;23,7;
13/12/2022 13.53.00;27;22,7;23,8;
13/12/2022 13.54.00;27;22,7;23,6;
13/12/2022 13.55.00;27;22,7;23,6;
13/12/2022 13.56.00;27;22,7;23,7;
13/12/2022 13.57.00;27;22,7;23,8;
13/12/2022 13.58.00;27;22,7;23,9;
13/12/2022 13.59.00;27,1;22,7;23,9;
13/12/2022 14.00.00;27,1;22,7;23,8;
13/12/2022 14.01.00;27,1;22,7;23,7;
13/12/2022 14.02.00;27,1;22,8;23,9;
13/12/2022 14.03.00;27,1;22,8;23,8;
13/12/2022 14.04.00;27,1;22,8;23,9;
13/12/2022 14.05.00;27,1;22,8;23,8;
13/12/2022 14.06.00;27,1;22,8;23,8;
13/12/2022 14.07.00;27,1;22,8;23,7;
13/12/2022 14.08.00;27,2;22,8;23,6;
13/12/2022 14.09.00;27,2;22,8;23,7;
13/12/2022 14.10.00;27,2;22,8;23,8;
13/12/2022 14.11.00;27,2;22,8;23,8;
13/12/2022 14.12.00;27,2;22,8;23,7;
13/12/2022 14.13.00;27,2;22,8;23,9;
13/12/2022 14.14.00;27,2;22,8;24;
13/12/2022 14.15.00;27,2;22,9;23,9;
13/12/2022 14.16.00;27,2;22,8;24;
13/12/2022 14.17.00;27,3;22,9;24;
13/12/2022 14.18.00;27,3;22,9;23,9;
13/12/2022 14.19.00;27,3;22,9;23,9;
13/12/2022 14.20.00;27,3;22,9;24;
13/12/2022 14.21.00;27,3;22,9;23,9;
13/12/2022 14.22.00;27,3;22,9;23,9;
13/12/2022 14.23.00;27,3;22,9;23,9;
13/12/2022 14.24.00;27,3;22,9;24;
13/12/2022 14.25.00;27,3;22,9;24;
13/12/2022 14.26.00;27,3;22,9;23,9;
13/12/2022 14.27.00;27,3;22,9;24;
13/12/2022 14.28.00;27,3;22,9;24;
13/12/2022 14.29.00;27,4;22,9;24;
13/12/2022 14.30.00;27,4;23;24;
13/12/2022 14.31.00;27,4;23;24;
13/12/2022 14.32.00;27,4;23;24,1;
13/12/2022 14.33.00;27,4;23;24;
13/12/2022 14.34.00;27,4;23;24;
13/12/2022 14.35.00;27,4;23;24,1;
13/12/2022 14.36.00;27,4;23;24,1;
13/12/2022 14.37.00;27,4;23;24,1;
13/12/2022 14.38.00;27,4;23;24,2;
13/12/2022 14.39.00;27,4;23,1;24,1;
13/12/2022 14.40.00;27,4;23;24,1;
13/12/2022 14.41.00;27,4;23;24,1;
13/12/2022 14.42.00;27,5;23,1;24,1;
13/12/2022 14.43.00;27,5;23,1;24,2;
13/12/2022 14.44.00;27,5;23,1;24,1;
13/12/2022 14.45.00;27,5;23,1;24,3;
13/12/2022 14.46.00;27,5;23,1;24,4;
13/12/2022 14.47.00;27,5;23,1;24,3;
13/12/2022 14.48.00;27,5;23,1;24,3;
13/12/2022 14.49.00;27,5;23,1;24,3;
13/12/2022 14.50.00;27,5;23,2;24,3;
13/12/2022 14.51.00;27,6;23,1;24,2;
13/12/2022 14.52.00;27,5;23,1;24,2;
13/12/2022 14.53.00;27,6;23,2;24,2;
13/12/2022 14.54.00;27,6;23,2;24;
13/12/2022 14.55.00;27,6;23,2;24,2;
13/12/2022 14.56.00;27,6;23,2;24,2;
13/12/2022 14.57.00;27,6;23,2;24,1;
13/12/2022 14.58.00;27,6;23,2;24,1;
13/12/2022 14.59.00;27,6;23,2;24,1;
13/12/2022 15.00.00;27,6;23,2;24,2;
13/12/2022 15.01.00;27,6;23,2;24,1;
13/12/2022 15.02.00;27,6;23,2;24,1;
13/12/2022 15.03.00;27,6;23,2;24,1;
13/12/2022 15.04.00;27,6;23,2;24,2;
13/12/2022 15.05.00;27,7;23,3;24,2;
13/12/2022 15.06.00;27,7;23,3;24,1;
13/12/2022 15.07.00;27,7;23,3;24,2;
13/12/2022 15.08.00;27,7;23,3;24,1;
13/12/2022 15.09.00;27,7;23,3;24,1;
13/12/2022 15.10.00;27,7;23,3;24,1;
13/12/2022 15.11.00;27,7;23,3;24,1;
13/12/2022 15.12.00;27,7;23,3;24,2;
13/12/2022 15.13.00;27,7;23,3;24,2;
13/12/2022 15.14.00;27,7;23,3;24,2;
13/12/2022 15.15.00;27,7;23,3;24,3;
13/12/2022 15.16.00;27,7;23,3;24,2;
13/12/2022 15.17.00;27,7;23,3;24,2;
13/12/2022 15.18.00;27,7;23,3;24,1;
13/12/2022 15.19.00;27,7;23,3;24,2;
13/12/2022 15.20.00;27,8;23,3;24,3;
13/12/2022 15.21.00;27,8;23,4;24,2;
13/12/2022 15.22.00;27,8;23,3;24,2;
13/12/2022 15.23.00;27,8;23,4;24,3;
13/12/2022 15.24.00;27,8;23,4;24,4;
13/12/2022 15.25.00;27,8;23,4;24,3;
13/12/2022 15.26.00;27,8;23,4;24,3;
13/12/2022 15.27.00;27,8;23,4;24,3;
13/12/2022 15.28.00;27,8;23,4;24,4;
13/12/2022 15.29.00;27,8;23,4;24,4;
13/12/2022 15.30.00;27,8;23,4;24,3;
13/12/2022 15.31.00;27,8;23,4;24,4;
13/12/2022 15.32.00;27,8;23,4;24,3;
13/12/2022 15.33.00;27,8;23,5;24,4;
13/12/2022 15.34.00;27,9;23,5;24,3;
13/12/2022 15.35.00;27,9;23,5;24,4;
13/12/2022 15.36.00;27,9;23,5;24,4;
13/12/2022 15.37.00;27,9;23,4;24,4;
13/12/2022 15.38.00;27,9;23,5;24,4;
13/12/2022 15.39.00;27,9;23,5;24,4;
13/12/2022 15.40.00;27,9;23,5;24,4;
13/12/2022 15.41.00;27,9;23,5;24,4;
13/12/2022 15.42.00;27,9;23,5;24,4;
13/12/2022 15.43.00;27,9;23,5;24,4;
13/12/2022 15.44.00;27,9;23,5;24,4;
13/12/2022 15.45.00;27,9;23,5;24,5;
13/12/2022 15.46.00;27,9;23,5;24,5;
13/12/2022 15.47.00;27,9;23,6;24,5;
13/12/2022 15.48.00;28;23,6;24,5;
13/12/2022 15.49.00;28;23,6;24,4;
13/12/2022 15.50.00;28;23,6;24,5;
13/12/2022 15.51.00;28;23,6;24,4;
13/12/2022 15.52.00;28;23,6;24,4;
13/12/2022 15.53.00;28;23,6;24,4;
13/12/2022 15.54.00;28;23,6;24,4;
13/12/2022 15.55.00;28;23,6;24,5;
13/12/2022 15.56.00;28;23,6;24,4;
13/12/2022 15.57.00;28;23,6;24,4;
13/12/2022 15.58.00;28;23,6;24,4;
13/12/2022 15.59.00;28;23,6;24,5;
13/12/2022 16.00.00;28;23,6;24,3;
13/12/2022 16.01.00;28;23,6;24,4;
13/12/2022 16.02.00;28;23,6;24,3;
13/12/2022 16.03.00;28;23,6;24,3;
