Data Ora;TEMP 1 (°C);TEMP 2 (°C);TEMP 3 (°C);
13/12/2022 08.50.00;18,5;18,1;21,4;
13/12/2022 08.51.00;18,5;18,2;21,4;
13/12/2022 08.52.00;18,6;18,2;21,3;
13/12/2022 08.53.00;18,7;18,2;21,4;
13/12/2022 08.54.00;18,7;18,2;21,3;
13/12/2022 08.55.00;18,8;18,2;21,2;
13/12/2022 08.56.00;18,8;18,3;21,3;
13/12/2022 08.57.00;18,9;18,3;21,3;
13/12/2022 08.58.00;19;18,3;21,3;
13/12/2022 08.59.00;19;18,4;21,4;
13/12/2022 09.00.00;19,1;18,4;21,3;
13/12/2022 09.01.00;19,1;18,4;21,3;
13/12/2022 09.02.00;19,2;18,4;21,3;
13/12/2022 09.03.00;19,2;18,4;21,3;
13/12/2022 09.04.00;19,3;18,4;21,2;
13/12/2022 09.05.00;19,4;18,5;21,2;
13/12/2022 09.06.00;19,4;18,5;21,4;
13/12/2022 09.07.00;19,5;18,5;21,4;
13/12/2022 09.08.00;19,5;18,5;21,4;
13/12/2022 09.09.00;19,6;18,6;21,5;
13/12/2022 09.10.00;19,6;18,6;21,4;
13/12/2022 09.11.00;19,7;18,6;21,5;
13/12/2022 09.12.00;19,8;18,6;21,5;
13/12/2022 09.13.00;19,8;18,7;21,5;
13/12/2022 09.14.00;19,9;18,7;21,5;
13/12/2022 09.15.00;19,9;18,7;21,6;
13/12/2022 09.16.00;20;18,8;21,7;
13/12/2022 09.17.00;20,1;18,8;21,6;
13/12/2022 09.18.00;20,1;18,8;21,5;
13/12/2022 09.19.00;20,1;18,8;21,6;
13/12/2022 09.20.00;20,2;18,9;21,5;
13/12/2022 09.21.00;20,2;18,9;21,5;
13/12/2022 09.22.00;20,3;18,9;21,6;
13/12/2022 09.23.00;20,4;18,9;21,7;
13/12/2022 09.24.00;20,4;18,9;21,6;
13/12/2022 09.25.00;20,5;18,9;21,6;
13/12/2022 09.26.00;20,5;19;21,6;
13/12/2022 09.27.00;20,6;19;21,6;
13/12/2022 09.28.00;20,6;19;21,7;
13/12/2022 09.29.00;20,7;19;21,7;
13/12/2022 09.30.00;20,7;19,1;21,6;
13/12/2022 09.31.00;20,8;19,1;21,6;
13/12/2022 09.32.00;20,8;19,1;21,7;
13/12/2022 09.33.00;20,9;19,1;21,8;
13/12/2022 09.34.00;20,9;19,2;21,7;
13/12/2022 09.35.00;21;19,2;21,8;
13/12/2022 09.36.00;21;19,2;21,8;
13/12/2022 09.37.00;21,1;19,2;21,7;
13/12/2022 09.38.00;21,1;19,2;21,7;
13/12/2022 09.39.00;21,2;19,2;21,7;
13/12/2022 09.40.00;21,2;19,3;21,7;
13/12/2022 09.41.00;21,3;19,3;21,7;
13/12/2022 09.42.00;21,3;19,3;21,7;
13/12/2022 09.43.00;21,4;19,3;21,8;
13/12/2022 09.44.00;21,4;19,3;21,8;
13/12/2022 09.45.00;21,5;19,3;21,6;
13/12/2022 09.46.00;21,5;19,4;21,7;
13/12/2022 09.47.00;21,6;19,4;21,7;
13/12/2022 09.48.00;21,6;19,4;21,8;
13/12/2022 09.49.00;21,6;19,5;21,8;
13/12/2022 09.50.00;21,7;19,5;21,9;
13/12/2022 09.51.00;21,7;19,5;21,9;
13/12/2022 09.52.00;21,8;19,5;21,9;
13/12/2022 09.53.00;21,8;19,5;21,8;
13/12/2022 09.54.00;21,9;19,5;21,7;
13/12/2022 09.55.00;21,9;19,6;21,8;
13/12/2022 09.56.00;22;19,6;21,8;
13/12/2022 09.57.00;22;19,6;21,9;
13/12/2022 09.58.00;22,1;19,6;21,8;
13/12/2022 09.59.00;22,1;19,7;21,9;
