Data Ora;TEMP 1 (°C);TEMP 2 (°C);TEMP 3 (°C);
13/12/2022 08.50.00;14,1;13,9;14,9;
13/12/2022 08.51.00;14,1;14;14,8;
13/12/2022 08.52.00;14,1;14;14,8;
13/12/2022 08.53.00;14,1;14;14,9;
13/12/2022 08.54.00;14,1;14;15;
13/12/2022 08.55.00;14,1;14;15;
13/12/2022 08.56.00;14,1;14;15;
13/12/2022 08.57.00;14,1;14;15;
13/12/2022 08.58.00;14,1;14;15;
13/12/2022 08.59.00;14,2;14;14,9;
13/12/2022 09.00.00;14,2;14,1;15;
13/12/2022 09.01.00;14,2;14,1;15;
13/12/2022 09.02.00;14,2;14,1;15;
13/12/2022 09.03.00;14,2;14,1;15,1;
13/12/2022 09.04.00;14,2;14,1;15;
13/12/2022 09.05.00;14,2;14,1;15;
13/12/2022 09.06.00;14,2;14,1;15,1;
13/12/2022 09.07.00;14,2;14,1;15,1;
13/12/2022 09.08.00;14,3;14,1;15,2;
13/12/2022 09.09.00;14,3;14,2;15,2;
13/12/2022 09.10.00;14,3;14,2;15,1;
13/12/2022 09.11.00;14,3;14,2;15,2;
13/12/2022 09.12.00;14,3;14,2;15,2;
13/12/2022 09.13.00;14,3;14,2;15,3;
13/12/2022 09.14.00;14,3;14,2;15,4;
13/12/2022 09.15.00;14,3;14,2;15,3;
13/12/2022 09.16.00;14,3;14,2;15,3;
13/12/2022 09.17.00;14,4;14,3;15,3;
13/12/2022 09.18.00;14,4;14,3;15,2;
13/12/2022 09.19.00;14,4;14,3;15,2;
13/12/2022 09.20.00;14,4;14,3;15,2;
13/12/2022 09.21.00;14,4;14,3;15,3;
13/12/2022 09.22.00;14,4;14,3;15,4;
13/12/2022 09.23.00;14,4;14,3;15,4;
13/12/2022 09.24.00;14,5;14,3;15,3;
13/12/2022 09.25.00;14,5;14,4;15,3;
13/12/2022 09.26.00;14,5;14,4;15,3;
13/12/2022 09.27.00;14,5;14,4;15,4;
13/12/2022 09.28.00;14,5;14,4;15,5;
13/12/2022 09.29.00;14,5;14,4;15,5;
13/12/2022 09.30.00;14,5;14,4;15,4;
13/12/2022 09.31.00;14,5;14,4;15,4;
13/12/2022 09.32.00;14,5;14,4;15,4;
13/12/2022 09.33.00;14,6;14,4;15,3;
13/12/2022 09.34.00;14,6;14,4;15,4;
13/12/2022 09.35.00;14,6;14,5;15,5;
13/12/2022 09.36.00;14,6;14,5;15,4;
13/12/2022 09.37.00;14,6;14,5;15,4;
13/12/2022 09.38.00;14,6;14,5;15,4;
13/12/2022 09.39.00;14,6;14,5;15,5;
13/12/2022 09.40.00;14,6;14,5;15,4;
13/12/2022 09.41.00;14,6;14,5;15,4;
13/12/2022 09.42.00;14,7;14,5;15,5;
13/12/2022 09.43.00;14,7;14,6;15,5;
13/12/2022 09.44.00;14,7;14,6;15,3;
13/12/2022 09.45.00;14,7;14,6;15,3;
13/12/2022 09.46.00;14,7;14,6;15,4;
13/12/2022 09.47.00;14,7;14,6;15,5;
13/12/2022 09.48.00;14,7;14,6;15,5;
13/12/2022 09.49.00;14,7;14,6;15,5;
13/12/2022 09.50.00;14,8;14,6;15,5;
13/12/2022 09.51.00;14,8;14,7;15,5;
13/12/2022 09.52.00;14,8;14,7;15,6;
13/12/2022 09.53.00;14,8;14,7;15,5;
13/12/2022 09.54.00;14,8;14,7;15,5;
13/12/2022 09.55.00;14,8;14,7;15,5;
13/12/2022 09.56.00;14,8;14,7;15,5;
13/12/2022 09.57.00;14,9;14,7;15,5;
13/12/2022 09.58.00;14,8;14,7;15,5;
13/12/2022 09.59.00;14,9;14,8;15,4;
13/12/2022 10.00.00;14,9;14,8;15,5;
13/12/2022 10.01.00;14,9;14,8;15,6;
13/12/2022 10.02.00;14,9;14,8;15,6;
13/12/2022 10.03.00;14,9;14,8;15,6;
13/12/2022 10.04.00;14,9;14,8;15,6;
13/12/2022 10.05.00;14,9;14,8;15,6;
13/12/2022 10.06.00;15;14,8;15,6;
13/12/2022 10.07.00;15;14,8;15,6;
13/12/2022 10.08.00;15;14,9;15,6;
13/12/2022 10.09.00;15;14,9;15,7;
13/12/2022 10.10.00;15;14,9;15,7;
13/12/2022 10.11.00;15;14,9;15,7;
13/12/2022 10.12.00;15;14,9;15,7;
13/12/2022 10.13.00;15;14,9;15,7;
13/12/2022 10.14.00;15;14,9;15,7;
13/12/2022 10.15.00;15,1;14,9;15,7;
13/12/2022 10.16.00;15,1;15;15,7;
13/12/2022 10.17.00;15,1;15;15,8;
13/12/2022 10.18.00;15,1;15;15,8;
13/12/2022 10.19.00;15,1;15;15,8;
13/12/2022 10.20.00;15,1;15;15,8;
13/12/2022 10.21.00;15,1;15;15,8;
13/12/2022 10.22.00;15,2;15;15,8;
13/12/2022 10.23.00;15,2;15;15,8;
13/12/2022 10.24.00;15,2;15;15,9;
13/12/2022 10.25.00;15,2;15,1;15,8;
13/12/2022 10.26.00;15,2;15,1;15,8;
13/12/2022 10.27.00;15,2;15,1;15,8;
