13/12/2022 08:54:57;-000.002;+000.000;-000.001+000.000;+000.000;20,2000007629395;37,9599990844727;23,5;23,5;20,2000007629395;37,8899993896484;7000
13/12/2022 08:56:02;-000.002;+000.000;+000.000+000.000;+000.000;20,2999992370605;37,8800010681152;23,6000003814697;23,6000003814697;20,2999992370605;37,9500007629395;7000
13/12/2022 08:57:06;-000.001;+000.000;-000.001+000.001;+000.001;20,3999996185303;37,6800003051758;23,6000003814697;23,6000003814697;20,3899993896484;37,8600006103516;7000
13/12/2022 08:58:11;-000.003;-000.001;+000.000+000.002;+000.001;20,3999996185303;38,0200004577637;23,7000007629395;23,7000007629395;20,3999996185303;38,1599998474121;7000
13/12/2022 08:59:17;-000.004;-000.002;+000.000+000.001;+000.001;20,5;38,2099990844727;23,7999992370605;23,7999992370605;20,5;38,2200012207031;7000
13/12/2022 09:00:21;-000.003;-000.001;+000.000+000.001;+000.001;20,5;38,2000007629395;23,7999992370605;23,8500003814697;20,5599994659424;38,1100006103516;7000
13/12/2022 09:01:27;-000.003;-000.001;+000.001+000.002;+000.002;20,6000003814697;38,3899993896484;23,8999996185303;23,8999996185303;20,6000003814697;38,3400001525879;7000
13/12/2022 09:02:32;-000.004;-000.001;+000.001+000.001;+000.002;20,7000007629395;38,439998626709;24;24;20,7000007629395;38,4000015258789;7000
13/12/2022 09:03:37;-000.005;-000.003;+000.001+000.002;+000.001;20,7000007629395;38,6800003051758;24,1000003814697;24,0900001525879;20,7000007629395;38,5200004577637;7000
13/12/2022 09:04:42;-000.006;-000.004;+000.002+000.001;+000.001;20,7999992370605;38,5400009155273;24,1000003814697;24,1000003814697;20,7999992370605;38,5900001525879;7000
13/12/2022 09:05:47;-000.006;-000.004;+000.002+000.003;+000.003;20,8999996185303;39,1300010681152;24,2000007629395;24,2000007629395;20,8400001525879;38,8699989318848;7000
13/12/2022 09:06:52;-000.006;-000.005;+000.003+000.001;+000.001;20,8999996185303;39,1699981689453;24,2999992370605;24,2700004577637;20,8999996185303;39,2700004577637;7000
13/12/2022 09:07:57;-000.007;-000.006;+000.003+000.001;+000.002;21;39,439998626709;24,2999992370605;24,2999992370605;21;39,2700004577637;7000
13/12/2022 09:09:02;-000.007;-000.006;+000.003+000.003;+000.003;21;39,2099990844727;24,3999996185303;24,3999996185303;21;39,1399993896484;7000
13/12/2022 09:10:07;-000.008;-000.007;+000.003+000.002;+000.002;21,1000003814697;39,3600006103516;24,5;24,5;21,1000003814697;39,6699981689453;7000
13/12/2022 09:11:11;-000.009;-000.008;+000.004+000.002;+000.003;21,2000007629395;39,1500015258789;24,5;24,5100002288818;21,2000007629395;39,2999992370605;7000
13/12/2022 09:12:17;-000.009;-000.008;+000.004+000.004;+000.004;21,2000007629395;39,5699996948242;24,6000003814697;24,6000003814697;21,2000007629395;39,4000015258789;7000
13/12/2022 09:13:22;-000.011;-000.009;+000.004+000.004;+000.004;21,2999992370605;39,4300003051758;24,7000007629395;24,7000007629395;21,2999992370605;39,4799995422363;7000
13/12/2022 09:14:26;-000.010;-000.009;+000.005+000.003;+000.003;21,3999996185303;39,5200004577637;24,7000007629395;24,7000007629395;21,3500003814697;39,5800018310547;7000
13/12/2022 09:15:31;-000.012;-000.010;+000.005+000.004;+000.005;21,3999996185303;39,9799995422363;24,7999992370605;24,7999992370605;21,3999996185303;39,7799987792969;7000
13/12/2022 09:16:36;-000.011;-000.009;+000.005+000.004;+000.003;21,5;39,7400016784668;24,8999996185303;24,8799991607666;21,5;39,6399993896484;7000
13/12/2022 09:17:41;-000.013;-000.011;+000.006+000.005;+000.005;21,5;39,6800003051758;24,8999996185303;24,8999996185303;21,5;39,7599983215332;7000
13/12/2022 09:18:46;-000.013;-000.012;+000.006+000.005;+000.005;21,6000003814697;39,5900001525879;25;25;21,6000003814697;39,6800003051758;7000
13/12/2022 09:19:51;-000.014;-000.012;+000.006+000.005;+000.005;21,7000007629395;39,8699989318848;25,1000003814697;25,0200004577637;21,6800003051758;39,8899993896484;7000
13/12/2022 09:20:56;-000.013;-000.012;+000.007+000.004;+000.005;21,7000007629395;39,7599983215332;25,1000003814697;25,1000003814697;21,7000007629395;40;7000
13/12/2022 09:22:02;-000.013;-000.012;+000.007+000.005;+000.005;21,7999992370605;40,3499984741211;25,2000007629395;25,2000007629395;21,7999992370605;40,560001373291;7000
13/12/2022 09:23:07;-000.017;-000.015;+000.007+000.005;+000.005;21,7999992370605;40,189998626709;25,2000007629395;25,2000007629395;21,7999992370605;40,3600006103516;7000
13/12/2022 09:24:12;-000.016;-000.015;+000.007+000.006;+000.006;21,8999996185303;40,5800018310547;25,2999992370605;25,2999992370605;21,8999996185303;40,4099998474121;7000
13/12/2022 09:25:17;-000.016;-000.014;+000.007+000.006;+000.007;22;40,4500007629395;25,3999996185303;25,3899993896484;21,9599990844727;40,3800010681152;7000
13/12/2022 09:26:22;-000.018;-000.017;+000.008+000.006;+000.006;22;40,5499992370605;25,3999996185303;25,3999996185303;22;40,4799995422363;7000
13/12/2022 09:27:27;-000.018;-000.017;+000.008+000.006;+000.006;22,1000003814697;40,8600006103516;25,5;25,5;22,1000003814697;40,8400001525879;7000
13/12/2022 09:28:33;-000.018;-000.017;+000.009+000.005;+000.006;22,1000003814697;40,8899993896484;25,5;25,5;22,1100006103516;40,9000015258789;7000
13/12/2022 09:29:38;-000.019;-000.018;+000.009+000.006;+000.006;22,2000007629395;41,3199996948242;25,6000003814697;25,6000003814697;22,2000007629395;41,2700004577637;7000
13/12/2022 09:30:43;-000.019;-000.018;+000.009+000.006;+000.006;22,2999992370605;40,7200012207031;25,7000007629395;25,7000007629395;22,2900009155273;40,5900001525879;7000
