Data Ora;TEMP 1 (°C);TEMP 2 (°C);TEMP 3 (°C);
13/12/2022 08.50.00;16,6;16,9;19,6;
13/12/2022 08.51.00;16,6;17;19,7;
13/12/2022 08.52.00;16,6;17;19,8;
13/12/2022 08.53.00;16,6;17;19,8;
13/12/2022 08.54.00;16,7;17;19,9;
13/12/2022 08.55.00;16,7;17,1;19,9;
13/12/2022 08.56.00;16,8;17,1;20;
13/12/2022 08.57.00;16,7;17,1;20,1;
13/12/2022 08.58.00;16,8;17,2;20,2;
13/12/2022 08.59.00;16,8;17,2;20,2;
13/12/2022 09.00.00;16,8;17,2;20,3;
13/12/2022 09.01.00;16,9;17,2;20,3;
13/12/2022 09.02.00;16,9;17,3;20,4;
13/12/2022 09.03.00;16,9;17,3;20,4;
13/12/2022 09.04.00;16,9;17,3;20,5;
13/12/2022 09.05.00;16,9;17,4;20,6;
13/12/2022 09.06.00;16,9;17,4;20,6;
13/12/2022 09.07.00;17;17,4;20,7;
13/12/2022 09.08.00;17;17,5;20,8;
13/12/2022 09.09.00;17;17,5;20,8;
13/12/2022 09.10.00;17,1;17,5;20,9;
13/12/2022 09.11.00;17;17,6;20,9;
13/12/2022 09.12.00;17,1;17,6;21;
13/12/2022 09.13.00;17,1;17,6;21;
13/12/2022 09.14.00;17,1;17,7;21,1;
13/12/2022 09.15.00;17,2;17,7;21,1;
13/12/2022 09.16.00;17,2;17,7;21,2;
13/12/2022 09.17.00;17,2;17,7;21,3;
13/12/2022 09.18.00;17,2;17,8;21,3;
13/12/2022 09.19.00;17,3;17,8;21,3;
13/12/2022 09.20.00;17,3;17,8;21,4;
13/12/2022 09.21.00;17,3;17,9;21,5;
13/12/2022 09.22.00;17,3;17,9;21,5;
13/12/2022 09.23.00;17,3;17,9;21,6;
13/12/2022 09.24.00;17,4;18;21,6;
13/12/2022 09.25.00;17,4;18;21,7;
13/12/2022 09.26.00;17,4;18;21,8;
13/12/2022 09.27.00;17,4;18,1;21,8;
13/12/2022 09.28.00;17,4;18,1;21,8;
13/12/2022 09.29.00;17,4;18,1;21,9;
13/12/2022 09.30.00;17,5;18,1;21,9;
13/12/2022 09.31.00;17,5;18,2;22;
13/12/2022 09.32.00;17,5;18,2;22;
13/12/2022 09.33.00;17,5;18,2;22,1;
13/12/2022 09.34.00;17,6;18,3;22,1;
13/12/2022 09.35.00;17,6;18,3;22,2;
